months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_year,fraud_reported,vehicle_age,total_damage,severe_accident,age_group,claim_range
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,1,1,2,1,114920,17680,17680,79560,2006,0,18,114920,1,61-70,80k+
60,23,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,1,1,0,0,56520,4710,9420,42390,2000,0,24,56520,1,18-30,40k-60k
121,34,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,?,Minor Damage,Unknown,SC,Springfield,6582 Elm Lane,5,1,0,1,1,0,7280,1120,1120,5040,2010,0,14,7280,0,31-40,0-20k
180,38,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,0,0,2,1,46200,4200,8400,33600,2003,1,21,46200,1,31-40,40k-60k
473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,1,0,0,0,63120,10520,10520,42080,1999,1,25,63120,1,51-60,60k-80k
70,26,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,0,1,2,1,52110,5790,5790,40530,2012,0,12,52110,1,18-30,40k-60k
140,31,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,0,0,2,1,77880,14160,7080,56640,2015,0,9,77880,1,31-40,60k-80k
160,37,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,1,1,0,0,72930,6630,13260,53040,2015,0,9,72930,1,31-40,60k-80k
196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,0,2,0,0,60400,6040,6040,48320,2014,0,10,60400,1,31-40,60k-80k
460,62,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,0,1,0,0,47160,0,5240,41920,2011,0,13,47160,0,61-70,40k-60k
217,41,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,0,1,2,0,37840,0,4730,33110,1996,0,28,37840,1,41-50,20k-40k
370,55,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,0,0,0,1,71520,17880,5960,47680,2000,1,24,71520,1,51-60,60k-80k
413,55,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,0,2,2,0,98160,8180,16360,73620,2011,1,13,98160,1,51-60,80k+
237,40,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,0,1,3,0,77880,7080,14160,56640,2005,0,19,77880,0,31-40,60k-80k
8,35,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,0,1,3,1,71500,16500,11000,44000,2006,1,18,71500,1,31-40,60k-80k
257,43,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,1,1,3,1,9020,1640,820,6560,2005,0,19,9020,0,41-50,0-20k
202,34,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,?,Minor Damage,Unknown,VA,Northbrook,3790 Andromedia Hwy,5,1,1,2,1,0,5720,1040,520,4160,2003,1,21,5720,0,31-40,0-20k
224,40,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,0,1,0,1,69840,7760,15520,46560,2009,0,15,69840,0,31-40,60k-80k
241,45,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,0,2,2,0,91650,14100,14100,63450,2011,0,13,91650,0,41-50,80k+
64,25,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,0,0,0,0,75600,12600,12600,50400,2005,0,19,75600,1,18-30,60k-80k
166,37,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,0,2,2,0,67140,7460,7460,52220,2006,1,18,67140,1,31-40,60k-80k
155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,1,2,3,0,29790,3310,3310,23170,2008,0,16,29790,1,31-40,20k-40k
114,30,IL,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,0,1,2,0,77110,14020,14020,49070,2015,0,9,77110,1,18-30,60k-80k
149,37,IL,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,1,0,1,1,64800,10800,5400,48600,1999,0,25,64800,1,31-40,60k-80k
147,33,OH,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,1,2,0,1,53100,10620,5310,37170,1995,1,29,53100,1,31-40,40k-60k
62,28,IL,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,0,1,1,1,60200,6020,6020,48160,2004,1,20,60200,1,18-30,60k-80k
289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,?,Minor Damage,Unknown,WV,Arlington,6676 Tree Lane,16,1,0,1,1,1,5330,1230,820,3280,2001,0,23,5330,0,41-50,0-20k
431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,0,2,0,0,62300,12460,6230,43610,2007,0,17,62300,1,51-60,60k-80k
199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,0,0,3,0,60170,10940,10940,38290,2011,1,13,60170,1,31-40,60k-80k
79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,0,2,2,0,40000,8000,4000,28000,2010,0,14,40000,0,18-30,20k-40k
116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,0,1,1,0,97080,16180,16180,64720,2001,1,23,97080,1,31-40,80k+
37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,1,1,0,0,51660,5740,5740,40180,2010,0,14,51660,0,18-30,40k-60k
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,0,2,2,0,51120,5680,5680,39760,2005,0,19,51120,1,18-30,40k-60k
269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,1,0,2,0,56400,11280,11280,33840,2014,0,10,56400,0,41-50,40k-60k
265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,0,2,3,0,55120,6890,0,48230,2002,0,22,55120,1,31-40,40k-60k
163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,1,1,1,0,77110,0,14020,63090,2014,0,10,77110,1,31-40,60k-80k
355,47,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,0,2,1,0,62800,6280,6280,50240,2003,1,21,62800,1,41-50,60k-80k
175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,0,2,0,1,7290,810,810,5670,1995,0,29,7290,0,31-40,0-20k
192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,0,0,0,0,76600,15320,7660,53620,2000,0,24,76600,1,31-40,60k-80k
430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,0,0,3,1,81800,16360,8180,57260,1998,0,26,81800,0,51-60,80k+
91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,?,Trivial Damage,Unknown,NY,Arlington,2280 4th Ave,4,1,0,1,2,0,7260,1320,660,5280,2008,0,16,7260,0,18-30,0-20k
217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,?,Minor Damage,Unknown,WV,Northbend,2644 Elm Drive,8,1,0,2,1,1,4300,430,430,3440,2000,0,24,4300,0,31-40,0-20k
223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,1,1,0,0,70510,12820,12820,44870,1999,0,25,70510,1,31-40,60k-80k
195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,?,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,0,0,1,1,2640,480,480,1680,2009,0,15,2640,0,31-40,0-20k
22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,1,1,2,0,78900,15780,7890,55230,1995,0,29,78900,0,18-30,60k-80k
439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,0,2,3,0,56430,0,6270,50160,2014,0,10,56430,1,51-60,40k-60k
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,?,Minor Damage,Unknown,VA,Riverwood,5418 Britain Ave,19,1,0,1,3,0,2400,300,300,1800,2014,0,10,2400,0,31-40,0-20k
11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,1,0,1,0,65790,7310,7310,51170,2007,0,17,65790,1,31-40,60k-80k
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,0,1,1,0,62920,11440,5720,45760,2000,0,24,62920,0,31-40,60k-80k
154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,1,2,1,0,69480,15440,0,54040,2014,1,10,69480,1,31-40,60k-80k
245,44,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,0,0,3,0,44280,7380,3690,33210,1997,0,27,44280,1,41-50,40k-60k
119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,0,0,3,1,56300,5630,11260,39410,2011,0,13,56300,0,31-40,40k-60k
215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,1,2,2,1,68520,11420,5710,51390,2003,1,21,68520,1,41-50,60k-80k
295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,0,0,0,0,59130,6570,6570,45990,2006,1,18,59130,1,41-50,40k-60k
254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,1,2,2,0,82320,13720,6860,61740,1995,1,29,82320,0,31-40,80k+
107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,1,0,1,0,89700,13800,13800,62100,2009,1,15,89700,0,31-40,80k+
478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,0,1,1,0,33930,0,3770,30160,1998,0,26,33930,0,61-70,20k-40k
128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,0,0,3,0,68530,12460,6230,49840,1997,0,27,68530,1,18-30,60k-80k
338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,?,Minor Damage,Unknown,NC,Riverwood,7721 Washington Ridge,13,1,0,0,1,0,4300,860,860,2580,2004,0,20,4300,0,41-50,0-20k
271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,0,2,3,0,68310,12420,6210,49680,2003,1,21,68310,1,41-50,60k-80k
222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,6751 Pine Ridge,7,1,0,0,2,0,61290,6810,6810,47670,1995,1,29,61290,1,41-50,60k-80k
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,2324 Texas Ridge,10,1,0,1,2,0,30100,3010,0,27090,1999,0,25,30100,0,41-50,20k-40k
215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7923 Elm Ave,7,3,0,2,0,1,57120,9520,4760,42840,2002,0,22,57120,0,31-40,40k-60k
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,4755 Best Lane,18,3,1,1,0,1,42930,9540,4770,28620,2005,0,19,42930,0,31-40,40k-60k
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,0,2,0,0,51210,11380,5690,34140,2010,0,14,51210,1,31-40,40k-60k
270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,0,1,1,1,89400,14900,7450,67050,1998,0,26,89400,0,41-50,80k+
319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,0,0,2,0,59730,10860,10860,38010,2005,0,19,59730,1,41-50,40k-60k
194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,?,Minor Damage,Unknown,SC,Springfield,7877 Sky Lane,15,1,1,2,2,1,8060,1240,1240,5580,2004,0,20,8060,0,31-40,0-20k
227,38,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,6530 Weaver Ave,16,1,0,1,2,0,72200,14440,7220,50540,2013,1,11,72200,1,31-40,60k-80k
137,31,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,0,1,2,0,50800,10160,10160,30480,2005,0,19,50800,0,31-40,40k-60k
244,40,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,0,0,Vehicle Theft,?,Trivial Damage,Unknown,NC,Northbrook,7098 Lincoln Hwy,10,1,0,2,1,0,6600,660,1320,4620,2005,0,19,6600,0,31-40,0-20k
78,29,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5124 Maple St,3,1,1,2,2,0,7500,750,1500,5250,2002,0,22,7500,0,18-30,0-20k
200,35,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,57300,-80600,Vehicle Theft,?,Trivial Damage,Unknown,VA,Hillsdale,2333 Maple Lane,13,1,0,0,3,1,6490,1180,1180,4130,2002,0,22,6490,0,31-40,0-20k
284,48,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,1012 5th Lane,16,2,0,2,3,0,60940,5540,11080,44320,2013,1,11,60940,1,41-50,60k-80k
275,41,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,7477 MLK Drive,13,3,1,0,1,0,58300,5830,11660,40810,2007,0,17,58300,1,41-50,40k-60k
153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9489 3rd St,9,3,0,2,1,0,68400,11400,11400,45600,2007,0,17,68400,0,31-40,60k-80k
134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2087 Apache Ave,2,1,0,2,1,1,64240,11680,11680,40880,2015,0,9,64240,1,31-40,60k-80k
31,36,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,?,Trivial Damage,Unknown,WV,Arlington,5540 Sky St,9,1,0,0,1,1,4700,940,470,3290,2002,0,22,4700,0,31-40,0-20k
41,25,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,7238 2nd St,12,3,1,2,0,0,45120,0,5640,39480,2011,1,13,45120,1,18-30,40k-60k
127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,8442 Britain Hwy,12,2,1,1,1,0,66950,10300,10300,46350,1995,0,29,66950,1,18-30,60k-80k
61,23,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,0,0,3,0,98340,8940,17880,71520,2004,1,20,98340,1,18-30,80k+
207,42,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,55200,0,Parked Car,?,Trivial Damage,Unknown,WV,Springfield,5260 Francis Drive,9,1,0,0,1,0,5900,590,590,4720,2007,0,17,5900,0,41-50,0-20k
219,43,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,1135 Solo Lane,3,3,0,1,1,0,70680,5890,11780,53010,2009,0,15,70680,1,41-50,60k-80k
271,42,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9737 Solo Hwy,21,3,0,1,0,0,93720,17040,8520,68160,2005,0,19,93720,1,41-50,80k+
80,25,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,Vehicle Theft,?,Minor Damage,Unknown,OH,Northbrook,3289 Britain Drive,5,1,0,2,0,1,6930,1260,630,5040,2001,0,23,6930,0,18-30,0-20k
